_id,date,age_group,deaths_boost_vac_rate_7ma,deaths_full_vac_rate_7ma,deaths_not_full_vac_rate_7ma
244,2021-04-04T00:00:00,60+,0,0,0.42
245,2021-04-04T00:00:00,ALL,0,0,0.11
246,2021-04-05T00:00:00,0-4yrs,0,0,0
247,2021-04-05T00:00:00,5-11yrs,0,0,0
248,2021-04-05T00:00:00,12-17yrs,0,0,0
249,2021-04-05T00:00:00,18-39yrs,0,0,0
250,2021-04-05T00:00:00,40-59yrs,0,0,0.02
251,2021-04-05T00:00:00,60+,0,0,0.45
252,2021-04-05T00:00:00,ALL,0,0,0.11
253,2021-04-06T00:00:00,0-4yrs,0,0,0
254,2021-04-06T00:00:00,5-11yrs,0,0,0
255,2021-04-06T00:00:00,12-17yrs,0,0,0
256,2021-04-06T00:00:00,18-39yrs,0,0,0.01
257,2021-04-06T00:00:00,40-59yrs,0,0,0.05
258,2021-04-06T00:00:00,60+,0,0,0.43
259,2021-04-06T00:00:00,ALL,0,0,0.12
260,2021-04-07T00:00:00,0-4yrs,0,0,0
261,2021-04-07T00:00:00,5-11yrs,0,0,0
262,2021-04-07T00:00:00,12-17yrs,0,0,0
263,2021-04-07T00:00:00,18-39yrs,0,0,0
264,2021-04-07T00:00:00,40-59yrs,0,0,0.05
265,2021-04-07T00:00:00,60+,0,0,0.42
266,2021-04-07T00:00:00,ALL,0,0,0.11
267,2021-04-08T00:00:00,0-4yrs,0,0,0
268,2021-04-08T00:00:00,5-11yrs,0,0,0
269,2021-04-08T00:00:00,12-17yrs,0,0,0
270,2021-04-08T00:00:00,18-39yrs,0,0,0
271,2021-04-08T00:00:00,40-59yrs,0,0,0.05
272,2021-04-08T00:00:00,60+,0,0.09,0.45
273,2021-04-08T00:00:00,ALL,0,0.04,0.12
274,2021-04-09T00:00:00,0-4yrs,0,0,0
275,2021-04-09T00:00:00,5-11yrs,0,0,0
276,2021-04-09T00:00:00,12-17yrs,0,0,0
277,2021-04-09T00:00:00,18-39yrs,0,0,0.01
278,2021-04-09T00:00:00,40-59yrs,0,0,0.05
279,2021-04-09T00:00:00,60+,0,0.09,0.44
280,2021-04-09T00:00:00,ALL,0,0.04,0.12
281,2021-04-10T00:00:00,0-4yrs,0,0,0
282,2021-04-10T00:00:00,5-11yrs,0,0,0
283,2021-04-10T00:00:00,12-17yrs,0,0,0
284,2021-04-10T00:00:00,18-39yrs,0,0,0.01
285,2021-04-10T00:00:00,40-59yrs,0,0,0.04
286,2021-04-10T00:00:00,60+,0,0.09,0.52
287,2021-04-10T00:00:00,ALL,0,0.04,0.14
288,2021-04-11T00:00:00,0-4yrs,0,0,0
289,2021-04-11T00:00:00,5-11yrs,0,0,0
290,2021-04-11T00:00:00,12-17yrs,0,0,0
291,2021-04-11T00:00:00,18-39yrs,0,0,0.01
292,2021-04-11T00:00:00,40-59yrs,0,0,0.06
293,2021-04-11T00:00:00,60+,0,0.09,0.56
294,2021-04-11T00:00:00,ALL,0,0.04,0.15
295,2021-04-12T00:00:00,0-4yrs,0,0,0
296,2021-04-12T00:00:00,5-11yrs,0,0,0
297,2021-04-12T00:00:00,12-17yrs,0,0,0
298,2021-04-12T00:00:00,18-39yrs,0,0,0.01
299,2021-04-12T00:00:00,40-59yrs,0,0,0.06
300,2021-04-12T00:00:00,60+,0,0.09,0.54
301,2021-04-12T00:00:00,ALL,0,0.04,0.15
302,2021-04-13T00:00:00,0-4yrs,0,0,0
303,2021-04-13T00:00:00,5-11yrs,0,0,0
304,2021-04-13T00:00:00,12-17yrs,0,0,0
305,2021-04-13T00:00:00,18-39yrs,0,0,0.01
306,2021-04-13T00:00:00,40-59yrs,0,0,0.04
307,2021-04-13T00:00:00,60+,0,0.09,0.6
308,2021-04-13T00:00:00,ALL,0,0.04,0.15
309,2021-04-14T00:00:00,0-4yrs,0,0,0
310,2021-04-14T00:00:00,5-11yrs,0,0,0
311,2021-04-14T00:00:00,12-17yrs,0,0,0
312,2021-04-14T00:00:00,18-39yrs,0,0,0.01
313,2021-04-14T00:00:00,40-59yrs,0,0,0.06
314,2021-04-14T00:00:00,60+,0,0.09,0.67
315,2021-04-14T00:00:00,ALL,0,0.04,0.18
316,2021-04-15T00:00:00,0-4yrs,0,0,0
317,2021-04-15T00:00:00,5-11yrs,0,0,0
318,2021-04-15T00:00:00,12-17yrs,0,0,0
319,2021-04-15T00:00:00,18-39yrs,0,0,0.01
320,2021-04-15T00:00:00,40-59yrs,0,0,0.06
321,2021-04-15T00:00:00,60+,0,0,0.66
322,2021-04-15T00:00:00,ALL,0,0,0.17
323,2021-04-16T00:00:00,0-4yrs,0,0,0
324,2021-04-16T00:00:00,5-11yrs,0,0,0
325,2021-04-16T00:00:00,12-17yrs,0,0,0
326,2021-04-16T00:00:00,18-39yrs,0,0,0.01
327,2021-04-16T00:00:00,40-59yrs,0,0,0.06
328,2021-04-16T00:00:00,60+,0,0,0.68
329,2021-04-16T00:00:00,ALL,0,0,0.18
330,2021-04-17T00:00:00,0-4yrs,0,0,0
331,2021-04-17T00:00:00,5-11yrs,0,0,0
332,2021-04-17T00:00:00,12-17yrs,0,0,0
333,2021-04-17T00:00:00,18-39yrs,0,0,0.01
334,2021-04-17T00:00:00,40-59yrs,0,0,0.09
335,2021-04-17T00:00:00,60+,0,0,0.61
336,2021-04-17T00:00:00,ALL,0,0,0.17
337,2021-04-18T00:00:00,0-4yrs,0,0,0
338,2021-04-18T00:00:00,5-11yrs,0,0,0.01
339,2021-04-18T00:00:00,12-17yrs,0,0,0
340,2021-04-18T00:00:00,18-39yrs,0,0,0.02
341,2021-04-18T00:00:00,40-59yrs,0,0,0.08
342,2021-04-18T00:00:00,60+,0,0.08,0.65
343,2021-04-18T00:00:00,ALL,0,0.04,0.18
344,2021-04-19T00:00:00,0-4yrs,0,0,0
345,2021-04-19T00:00:00,5-11yrs,0,0,0.01
346,2021-04-19T00:00:00,12-17yrs,0,0,0
347,2021-04-19T00:00:00,18-39yrs,0,0,0.02
348,2021-04-19T00:00:00,40-59yrs,0,0,0.08
349,2021-04-19T00:00:00,60+,0,0.08,0.68
350,2021-04-19T00:00:00,ALL,0,0.04,0.19
351,2021-04-20T00:00:00,0-4yrs,0,0,0
352,2021-04-20T00:00:00,5-11yrs,0,0,0.01
353,2021-04-20T00:00:00,12-17yrs,0,0,0
354,2021-04-20T00:00:00,18-39yrs,0,0,0.01
355,2021-04-20T00:00:00,40-59yrs,0,0,0.09
356,2021-04-20T00:00:00,60+,0,0.08,0.69
357,2021-04-20T00:00:00,ALL,0,0.04,0.19
358,2021-04-21T00:00:00,0-4yrs,0,0,0
359,2021-04-21T00:00:00,5-11yrs,0,0,0.01
360,2021-04-21T00:00:00,12-17yrs,0,0,0
